epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,469.684,1.01568,1.02404,1.45034,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000262255,0.000262255,0.000262255
147,472.24,0.96819,1.10984,1.18782,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000253863,0.000253863,0.000253863
148,475.193,0.99876,1.09405,2.14607,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000245586,0.000245586,0.000245586
149,478.092,1.02865,0.95103,1.48639,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000237427,0.000237427,0.000237427
150,480.711,0.98602,0.99178,1.61584,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000229388,0.000229388,0.000229388
151,483.41,0.87388,0.96949,1.39005,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000221469,0.000221469,0.000221469
152,486.07,0.90275,0.90068,2.23408,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000213675,0.000213675,0.000213675
153,488.666,1.06413,1.02308,1.37001,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000206005,0.000206005,0.000206005
154,491.282,0.83486,0.93392,1.3162,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000198463,0.000198463,0.000198463
155,493.981,0.87324,0.94157,1.03192,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.00019105,0.00019105,0.00019105
156,497.214,0.94334,0.89087,1.61078,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000183768,0.000183768,0.000183768
157,499.877,1.10767,0.95777,1.12195,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000176619,0.000176619,0.000176619
158,502.829,1.05788,0.99114,1.26075,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000169604,0.000169604,0.000169604
159,505.457,0.89646,0.89252,1.50253,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000162725,0.000162725,0.000162725
160,508.43,0.94008,0.98114,1.07259,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000155984,0.000155984,0.000155984
161,511.24,0.9519,1.00298,1.21377,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000149383,0.000149383,0.000149383
162,513.88,0.77889,0.91568,1.80681,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000142923,0.000142923,0.000142923
163,516.605,0.88488,0.86629,2.46019,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000136605,0.000136605,0.000136605
164,519.861,0.90663,1.02455,1.70262,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000130432,0.000130432,0.000130432
165,522.801,0.94373,1.02438,1.33661,0.98224,0.80839,0.91093,0.66422,1.07201,0.91376,1.71764,0.000124405,0.000124405,0.000124405
166,525.471,0.84939,0.91632,1.63879,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,0.000118526,0.000118526,0.000118526
167,528.69,0.89498,0.91572,1.02634,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,0.000112795,0.000112795,0.000112795
168,532.479,0.89376,0.90632,1.22426,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,0.000107214,0.000107214,0.000107214
169,535.672,0.80845,0.88993,1.13873,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,0.000101785,0.000101785,0.000101785
170,538.864,0.91582,0.89807,1.25487,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,9.6509e-05,9.6509e-05,9.6509e-05
171,542.661,0.85708,0.9634,1.14411,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,9.13871e-05,9.13871e-05,9.13871e-05
172,545.903,0.79296,0.87714,1.06771,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,8.64207e-05,8.64207e-05,8.64207e-05
173,549.675,0.88809,0.94156,1.10858,0.90092,0.81548,0.91487,0.69644,1.01767,0.8883,1.7163,8.16111e-05,8.16111e-05,8.16111e-05
